voltage,current
0.6726,0.000000014887
0.6978,0.000000041731
0.7245,0.00000011299
0.7489,0.00000032415
0.7741,0.00000096281
0.7985,0.0000028269
0.8244,0.0000081101
0.8502,0.000021705
0.8755,0.000058091
0.8999,0.00014672
0.9251,0.00034975
0.9487,0.00076877
0.9738,0.0014878
1.0005,0.0025057
1.0248,0.004029
1.0492,0.0056381
1.0743,0.0076203
1.0994,0.0096083
1.1247,0.012
1.1493,0.0147
1.1756,0.0173
1.1993,0.0204
1.2239,0.0235
1.2511,0.0267
1.2748,0.0302
1.2993,0.0337
1.324,0.0376
1.3495,0.0412
1.375,0.0452
1.3996,0.0492
1.425,0.0534
1.4505,0.0578
1.476,0.0621
1.5006,0.0667


